node_id,ip_address,node_type
0,192.168.1.1,Fijo
1,192.168.1.2,Fijo
2,192.168.1.3,Fijo
3,192.168.1.4,Fijo
4,192.168.1.5,Fijo
5,192.168.1.6,Fijo
6,192.168.1.7,Fijo
7,192.168.1.8,Fijo
8,192.168.1.9,Fijo
9,192.168.1.10,Fijo
10,192.168.1.11,Fijo
11,192.168.1.12,Fijo
12,192.168.1.13,Fijo
13,192.168.1.14,Fijo
14,192.168.1.15,Fijo
15,192.168.1.16,Fijo
16,192.168.1.17,Fijo
17,192.168.1.18,Fijo
18,192.168.1.19,Fijo
19,192.168.1.20,Fijo
20,192.168.1.21,Móvil
21,192.168.1.22,Móvil
22,192.168.1.23,Móvil
23,192.168.1.24,Móvil
24,192.168.1.25,Móvil
25,192.168.1.26,Móvil
26,192.168.1.27,Móvil
27,192.168.1.28,Móvil
28,192.168.1.29,Móvil
29,192.168.1.30,Móvil
30,192.168.1.31,Malicioso
31,192.168.1.32,Malicioso
