Configuración,Protocolo,Eficiencia
no_mal_no_int,AODV,2.2141525930948656
no_mal_no_int,OLSR,1.033594116777097
no_mal_no_int,DSDV,1.7148060053496674
int_no_mal,AODV,6.647600328542952
int_no_mal,OLSR,1.40882056001312
int_no_mal,DSDV,2.6604544930743814
int_no_mal,DSR,0.3850965324820274
mal_no_int,AODV,4.342985293815238
mal_no_int,OLSR,2.1775410076298503
mal_no_int,DSDV,1.9201705894923824
mal_no_int,DSR,2.700260885479925
mal_int,AODV,5.768632975584686
mal_int,OLSR,0.957272886090937
mal_int,DSDV,1.9595844441076196
mal_int,DSR,1.8849959728853123
